破解	Means to decipher or crack a code. Can also be used figuratively to solve a mystery or puzzle.
规律	规律 (guīlǜ) refers to a rule, law, pattern, or regularity. It can describe natural laws, social norms, or recurring patterns in behavior or events.<NEWLINE>--------<NEWLINE>This translates to "law, regular pattern, or rhythm". Be careful, it is sometimes mistaken with 规则 (guīzé) which means "rule" or "regulation".
理解	There is no difference between the use of 理解 in Chinese and "understand / comprehend" in English.
蜜月期	蜜月期 (mìyuèqī) refers to the "honeymoon period," both literally in the context of a newlywed couple and figuratively to describe an initial period of harmony or enthusiasm in any new situation.
优点	There is no difference between the use of 优点 in Chinese and "advantage / merit / strength" in English.
抄袭	抄袭 (chāoxí) refers to plagiarism or copying someone else's work without proper attribution.  It carries a strong negative connotation and is considered a serious academic and ethical offense.
短语	短语 (duǎnyǔ) refers specifically to a group of words that function as a single unit within a sentence, but do not form a complete sentence themselves.  It's different from 句子 (jùzi - sentence), which is a complete thought.  Think "phrase" vs. "sentence."
科目	科目 (kēmù) refers to a subject or course of study, particularly in an academic context. It's commonly used to discuss school subjects or university majors.
瞎扯蛋	This is an extremely vulgar expression and should not be used in polite company.  It literally means "bullshit".  A much more polite way to express this sentiment is 胡说八道 (húshuōbādào).<NEWLINE>--------<NEWLINE>瞎扯蛋 (xiā chě dàn) is a vulgar and highly informal expression meaning "nonsense," "bullshit," or "talking crap."  It's considered very rude and should be avoided in polite conversation.
回见	回见 (huíjiàn) is a casual and common way to say "see you later" or "goodbye."  It's similar to 再见 (zàijiàn) but less formal.
有趣	There is no difference between the use of 有趣 in Chinese and "interesting / amusing / fun" in English.
文件	There is no difference between the use of 文件 in Chinese and "document / file" in English.
伪装	There is no difference between the use of 伪装 in Chinese and "disguise," "camouflage," or "pretend" in English.
羊绒	There is no difference between the use of 羊绒 in Chinese and "cashmere" in English.
野兽	There is no difference between the use of 野兽 in Chinese and "wild animal / beast" in English.
树根	There is no difference between the use of 树根 in Chinese and "tree root" or simply "root" in English.
煎	煎 (jiān) refers to pan-frying or shallow-frying, a cooking method where food is cooked in a small amount of oil over relatively high heat.
天津	There is no difference between the use of 天津 in Chinese and "Tianjin" in English.
庭院	庭院 (tíngyuàn) refers to a courtyard, typically a paved or landscaped area enclosed by walls or buildings, often found in traditional Chinese architecture.
抢亲	抢亲 (qiǎngqīn) refers to the traditional custom of "bride kidnapping," where the groom and his friends would symbolically "abduct" the bride from her family's home as part of the wedding ceremony. While historically a real practice, it is now largely symbolic and performed for entertainment.
民法	There is no difference between the use of 民法 in Chinese and "civil law" in English.
擦音	擦音 (cāyīn) refers to a fricative consonant, a type of consonant sound produced by forcing air through a narrow channel in the vocal tract, creating friction.
团队	There is no difference between the use of 团队 in Chinese and "team / group" in English.
寒假	There is no difference between the use of 寒假 in Chinese and "winter vacation" in English.
外在	外在 (wàizài) refers to external or outward appearances, qualities, or factors. It contrasts with 内在 (nèizài), which refers to inner or intrinsic qualities.<NEWLINE>--------<NEWLINE>外在 is generally used as an adjective, meaning "external" or "outward." However, it can also be used as a noun, referring to "external appearance" or "outward manifestations."  Its antonym is 内在 (nèizài).
发票	There is no difference between the use of 发票 in Chinese and "invoice / receipt" in English.
持续	The most common collocation is 持续 + 一段时间 (a period of time), e.g. 持续一个月 (chíxù yī gè yuè),  持续一年 (chíxù yī nián), 持续很久 (chíxù hěn jiǔ), 持续很长时间 (chíxù hěn cháng shíjiān) etc.  It emphasizes the *uninterrupted* nature of the continuation. Be careful not to confuse this word with 继续 (jìxù), which means to *resume* something after a pause or interruption.<NEWLINE>--------<NEWLINE>持续 is more formal than other ways of saying "continue", such as 继续 (jìxù).
北京	Note that there is no tone change when followed by other syllables as part of a larger word, such as 北京人 (Běijīngrén), 北京话 (Běijīnghuà), and 北京大学 (Běijīng Dàxué).<NEWLINE>--------<NEWLINE>The first tone is a high, level tone. Make sure not to pronounce it as a rising second tone.
摇摆舞	摇摆舞 is swing dancing.<NEWLINE>--------<NEWLINE>This refers to swing dance. It is rare to see it written as 摇摆舞, more common to see it written as 摇摆 + 舞蹈.
长城	This literally means "long wall" (or more idiomatically "long city").<NEWLINE>--------<NEWLINE>This word is usually used with the definite article ("the") in English.
希望	The word 希望 is more formal than other ways of saying "hope", such as 想要 (xiǎng yào).<NEWLINE>--------<NEWLINE>Be careful not to use this word in situations where the English word "hope" refers to probabilities. For example, "I hope the weather is good tomorrow" would not translate to 我希望明天的天气很好. A more appropriate translation would be 我希望明天的天气很好, but it doesn't rain often at this time of year, so the chances are high.
政客	This word has slightly negative connotations in Chinese, similar to "politician" in English.<NEWLINE>--------<NEWLINE>This has a negative connotation.
大洋洲	Make sure to not confuse this word with 澳大利亚 (Àodàlìyà - Australia). 大洋洲 (Dàyángzhōu - Oceania) is a much larger geographic area, encompassing several other island nations in addition to Australia.<NEWLINE>--------<NEWLINE>This means Oceania, which consists of the Pacific Islands and Australasia.
必须	This word is more formal than other ways of expressing "must", such as "得" (děi) or "要" (yào) or "一定得" (yīdìng děi)<NEWLINE>--------<NEWLINE>This word can be considered formal (书面). A more colloquial equivalent is 一定要 (yīdìng yào).
祖先	This refers to ancestors in general, not just one ancestor.<NEWLINE>--------<NEWLINE>This word can refer to ancestors in general, or specifically to male ancestors (similar to the English word "forefathers").
